name,price,piece_count,url,price_per_piece,age_range
Baby Dinosaur Rescue Center,39.99,139,https://www.lego.com/en-us/product/baby-dinosaur-rescue-center-76963,0.288,4+
Spin's Motorcycle Adventure,19.99,24,https://www.lego.com/en-us/product/spins-motorcycle-adventure-10424,0.833,2+
Nine-Headed Beast,99.99,757,https://www.lego.com/en-us/product/nine-headed-beast-80056,0.132,9+
Gabby's Party Room,49.99,252,https://www.lego.com/en-us/product/gabbys-party-room-10797,0.198,4+
Airbus H175 Rescue Helicopter,209.99,2001,https://www.lego.com/en-us/product/airbus-h175-rescue-helicopter-42145,0.105,11+
The Windmill Farm,54.99,462,https://www.lego.com/en-us/product/the-windmill-farm-21262,0.119,8+
Soda Jungle Maker Set,54.99,598,https://www.lego.com/en-us/product/soda-jungle-maker-set-71434,0.092,7+
Snow White's Jewelry Box,44.99,358,https://www.lego.com/en-us/product/snow-whites-jewelry-box-43276,0.126,6+
100 Years of Disney Animation Icons,59.99,1022,https://www.lego.com/en-us/product/tbd-disney-animation-4-2023-43221,0.059,6+
Technic™ Large Motor,39.99,1,https://www.lego.com/en-us/product/technic-large-motor-88013,39.99,7+
Gray Baseplate,14.99,1,https://www.lego.com/en-us/product/gray-baseplate-11024,14.99,4+
Green Goblin Construction Figure,34.99,471,https://www.lego.com/en-us/product/tbd-sh-2024-marvel-10-76284,0.074,8+
Vintage Fashion Store,44.99,409,https://www.lego.com/en-us/product/vintage-fashion-store-42614,0.11,6+
Sora's Elemental Tech Mech,19.99,209,https://www.lego.com/en-us/product/soras-elemental-tech-mech-71807,0.096,7+
Lamborghini Huracán Tecnica,49.99,806,https://www.lego.com/en-us/product/lamborghini-huracan-tecnica-42161,0.062,9+
Antonio's Animal Sanctuary,39.99,310,https://www.lego.com/en-us/product/antonios-animal-sanctuary-43251,0.129,6+
Beach Smoothie Stand,19.99,213,https://www.lego.com/en-us/product/beach-smoothie-stand-42625,0.094,6+
Technic™ Hub,89.99,1,https://www.lego.com/en-us/product/technic-hub-88012,89.99,7+
Monkie Kid's Team Power Truck,79.99,712,https://www.lego.com/en-us/product/monkie-kids-team-power-truck-80055,0.112,7+
Hot Dog Food Truck,15.99,100,https://www.lego.com/en-us/product/hot-dog-food-truck-42633,0.16,4+
Elsa's Frozen Castle,44.99,163,https://www.lego.com/en-us/product/elsas-frozen-castle-43238,0.276,4+
Command Rover and Crane Loader,84.99,758,https://www.lego.com/en-us/product/command-rover-and-crane-loader-60432,0.112,7+
Emperor's Throne Room™ Diorama,99.99,807,https://www.lego.com/en-us/product/emperors-throne-room-diorama-75352,0.124,18+
"The Batcave™ with Batman™, Batgirl™ and The Joker™",27.99,184,https://www.lego.com/en-us/product/the-batcave-with-batman-batgirl-and-the-joker-76272,0.152,4+
Rocket's Warbird vs. Ronan,37.99,290,https://www.lego.com/en-us/product/rockets-warbird-vs-ronan-76278,0.131,8+
Monkie Kid's Combi Mech,19.99,277,https://www.lego.com/en-us/product/monkie-kids-combi-mech-80040,0.072,7+
LEGO® Technic™ Small Hub,229.95,2,https://www.lego.com/en-us/product/lego-technic-small-hub-45609,114.975,6+
Monkey King Ultra Mech,159.99,1705,https://www.lego.com/en-us/product/monkey-king-ultra-mech-80045,0.094,10+
New York City,59.99,598,https://www.lego.com/en-us/product/new-york-city-21028,0.1,12+
Spider-Man Race Car & Venom Green Goblin,34.99,227,https://www.lego.com/en-us/product/spider-man-race-car--venom-green-goblin-76279,0.154,7+
Emergency Rescue Helicopter,15.99,226,https://www.lego.com/en-us/product/emergency-rescue-helicopter-60405,0.071,6+
Light,9.99,1,https://www.lego.com/en-us/product/light-88005,9.99,7+
Emergency Ambulance and Snowboarder,15.99,79,https://www.lego.com/en-us/product/emergency-ambulance-and-snowboarder-60403,0.202,4+
